Time(Iteration),EpsilonGreedyMultiArmedBandit
0,0.37481076286172177
1,0.7734681854523513
2,1.0936560125377235
3,1.3661432975536045
4,1.716111232705123
5,2.117067692543127
6,2.47663765216667
7,2.792914950532006
8,3.0010854219250964
9,3.38264066598983
10,3.6594214939071485
11,3.880910028181044
12,4.137645569488923
13,4.394268874955517
14,4.614356166161451
15,4.828258017044854
16,5.128988101024786
17,5.268824777655066
18,5.440673392984353
19,5.680315369763087
20,5.985338747960802
21,6.202837657667003
22,6.4187273147115205
23,6.6329109178003325
24,6.851937668850409
25,7.117702710145634
26,7.254613269721562
27,7.361667307478685
28,7.570977576635831
29,7.9150695741859565
30,8.03104814384579
31,8.207241663928205
32,8.311799883534944
33,8.368326709618671
34,8.498744816276368
35,8.609920962016187
36,8.841234244344502
37,8.869401411790944
38,9.040980922917118
39,9.291658338222911
40,9.436548484746996
41,9.50863697047454
42,9.657391527310885
43,10.008471101478175
44,10.227431836772222
45,10.417368942170546
46,10.47860919992901
47,10.55408963012398
48,10.724537157219535
49,10.832975744453162
50,10.861142911899602
51,10.936651940673839
52,11.108692439651758
53,11.184201468425993
54,11.24636216388283
55,11.438157351292316
56,11.564568637893574
57,11.705234150366291
58,11.794921935435022
59,12.012754528326067
60,12.11770595574011
61,12.241708978991776
62,12.397124373344033
63,12.48467639389221
64,12.515820339996454
65,12.652922390709566
66,12.73704143854769
67,12.939187011532283
68,13.07253381212096
69,13.269281684673496
70,13.431750145438324
71,13.567282167411687
72,13.64433945768901
73,13.704691175857139
74,13.797998712457465
75,13.85187499377297
76,13.89020854411435
77,14.023688831259316
78,14.125971034156262
79,14.262684246831842
80,14.45401092918232
81,14.654273636505177
82,14.741166198151282
83,14.826864155061514
84,14.97666016246625
85,15.166110673712206
86,15.28822102807015
87,15.366631273887865
88,15.428694051707472
89,15.528838939692758
90,15.712483373778738
91,15.72841591548947
92,15.886305652196231
93,16.02324265419226
94,16.124181456099556
95,16.231322086949852
96,16.381158489229716
97,16.458951036128507
98,16.586021395953438
99,16.726805678062306
100,16.91377407426068
101,17.067846825162864
102,17.2324882142944
103,17.248420756005128
104,17.312371695668652
105,17.32830423737938
106,17.406105412306452
107,17.505259080281313
108,17.794183560223512
109,18.019323644968974
110,18.144923758581548
111,18.406778481534957
112,18.42271102324569
113,18.472308211465542
114,18.525664872239695
115,18.716014251983502
116,18.76486207092326
117,18.84476991378837
118,18.8607024554991
119,19.04800265463812
120,19.11664613755098
121,19.262601607999596
122,19.342509450864704
123,19.391357269804466
124,19.478080729585518
125,19.652943020423237
126,19.67744476644271
127,19.747542701648815
128,19.881454426063275
129,19.897386967774004
130,19.990860073299338
131,20.138823673780983
132,20.238356895711533
133,20.26679207424121
134,20.328158671655586
135,20.403549302303055
136,20.492523676255992
137,20.578287343054328
138,20.818943796856168
139,20.898387068796957
140,21.012320467073472
141,21.154387313375388
142,21.177629496787354
143,21.222280874355384
144,21.348074015397057
145,21.428230491535224
146,21.609488851848837
147,21.680133847829225
148,21.690322330184934
149,21.811893215355845
150,21.822081697711553
151,21.832270180067262
152,21.94049786920369
153,22.00402600297659
154,22.114480281008827
155,22.204855296681234
156,22.25207395785478
157,22.262262440210485
158,22.272450922566193
159,22.409239146563998
160,22.450662442568508
161,22.538687158637597
162,22.75382472805436
163,22.81095036026044
164,22.83691204713285
165,23.054393776031425
166,23.14200039057065
167,23.15218887292636
168,23.304053250522838
169,23.32815925750533
170,23.33834773986104
171,23.392293415239898
172,23.463915892806007
173,23.474104375161716
174,23.545726852727825
175,23.68210527582503
176,23.69229375818074
177,23.905736836144165
178,23.94427043243292
179,23.991814567586893
180,24.055014478697128
181,24.190825404270825
182,24.323684291881538
183,24.333872774237243
184,24.359834461109653
185,24.537203406928985
186,24.58160351987751
187,24.612878532119122
188,24.753923451720585
189,24.793689797437647
190,24.874322806637522
191,25.127228153015473
192,25.274511960032946
193,25.34538960410962
194,25.35557808646533
195,25.41264207560541
196,25.42283055796112
197,25.43301904031683
198,25.463615782734347
199,25.531864485677275
200,25.58009013172763
201,25.657483232453252
202,25.667671714808954
203,25.73181122221723
204,25.80148142774587
205,25.811669910101575
206,25.896807316994977
207,26.02102278360897
208,26.167900411807363
209,26.193820981361103
210,26.25593050360065
211,26.266118985956354
212,26.27630746831206
213,26.34536436120563
214,26.446602244425655
215,26.574732305675315
216,26.654079719378444
217,26.66426820173415
218,26.728407709142424
219,26.76166598796333
220,26.771854470319035
221,26.892970816697762
222,26.946169110611542
223,27.032890068183455
224,27.04307855053916
225,27.08051186243572
226,27.121085674030287
227,27.208814720200593
228,27.340486493143267
229,27.35067497549897
230,27.429833321945654
231,27.60469736417142
232,27.76982203030285
233,27.800091578109594
234,27.887820624279904
235,27.898009106635605
236,27.996285159615745
237,28.084987217773335
238,28.09517570012904
239,28.2343053529482
240,28.299028594820594
241,28.41822939302307
242,28.50797823685781
243,28.549401532862316
244,28.628754599518846
245,28.801388526109605
246,28.919511739637176
247,28.992177926099863
248,29.002366408455565
249,29.07517933129899
250,29.085367813654692
251,29.095556296010397
252,29.16549257798608
253,29.228845587887
254,29.239034070242706
255,29.30305867232364
256,29.400920091718472
257,29.525991085371423
258,29.633050521023414
259,29.724837618389227
260,29.735026100744932
261,29.772985570144613
262,29.822887733511955
263,29.91288465908059
264,29.970082428189592
265,30.049037719750295
266,30.187034202065046
267,30.260104764158644
268,30.406372327260435
269,30.449633899928166
270,30.512533323486004
271,30.522721805841705
272,30.618824856091653
273,30.74571193516693
274,30.864543628470614
275,30.921240135493196
276,30.970126644209092
277,31.0438577746683
278,31.16573699561141
279,31.175925477967116
280,31.18611396032282
281,31.239320476736083
282,31.349226716183523
283,31.451662274991282
284,31.466917843312974
285,31.51463557528382
286,31.618647398194337
287,31.628835880550042
288,31.74634276501165
289,31.924116053665852
290,31.976887659274773
291,32.1410029277264
292,32.15835894985183
293,32.34593340558576
294,32.398350630297145
295,32.408539112652846
296,32.480587600196614
297,32.60678287036389
298,32.734328511290656
299,32.83267298869511
300,32.949426587809796
301,33.10441961117011
302,33.18303878254054
303,33.29663888097427
304,33.30682736332998
305,33.44145130436662
306,33.451639786722325
307,33.4970731613129
308,33.6898443976507
309,33.737920224820726
310,33.78599605199075
311,33.94125458544689
312,33.97734878648307
313,34.05001497294576
314,34.074120979928246
315,34.08430946228395
316,34.13385003513106
317,34.24575114101389
318,34.38574093017451
319,34.47548977400925
320,34.52863754135541
321,34.60243891574491
322,34.705994464230535
323,34.87801351986297
324,34.89631391466087
325,34.90650239701658
326,35.07110226167023
