Time(Iteration),EpsilonGreedyLinearBanditTheta
0,0.8715367318370977
1,0.6892289611219565
2,0.38979368476001924
3,0.3197394514734066
4,0.24796473847612605
5,0.22921471660210332
6,0.225298938737344
7,0.1611244734331767
8,0.159924468199622
9,0.15034512631844116
10,0.14523055906314652
11,0.1480139462912348
12,0.13814552192599902
13,0.1350280415843082
14,0.13389683550218073
15,0.12749872708702947
16,0.12635925936555473
17,0.11867111966961721
18,0.11698250595812625
19,0.0798053671950211
20,0.07591171458895461
21,0.06884773144135482
22,0.07038826322704182
23,0.07451218069886659
24,0.0641502562422934
25,0.062481713387148974
26,0.06492050317384628
27,0.06007550656245349
28,0.06103157397213745
29,0.06113762023342233
30,0.06147969497089073
31,0.06065499037269453
32,0.05976555591881242
33,0.05867371175061133
34,0.05843899139475441
35,0.05757853506976378
36,0.055493006589489934
37,0.05822964278923979
38,0.058309046875030246
39,0.05857947584255756
40,0.05730245999045227
41,0.05912044571596135
42,0.05947499436166133
43,0.056837804341852885
44,0.05791752030349105
45,0.05779307261837448
46,0.057698965240105114
47,0.05669994367842916
48,0.05737294539292557
49,0.05796808352523569
50,0.05717231212878295
51,0.057262879647867346
52,0.05589428453702515
53,0.05710792834989906
54,0.05638991556456432
55,0.05624818604656508
56,0.05798591735203934
57,0.0549647509304384
58,0.057440720141731835
59,0.057216073608385654
60,0.056314137192247135
61,0.05498332074794252
62,0.05437358582464328
63,0.053958876992830807
64,0.052733869943974124
65,0.05137677984710358
66,0.050852327977935395
67,0.05027784054576419
68,0.051113560480921236
69,0.050777658635829635
70,0.05027092870444109
71,0.05011802246670248
72,0.05013274908968696
73,0.05073772373259279
74,0.05019967524798195
75,0.05038796630451257
76,0.04885370424641609
77,0.049355920059905425
78,0.04958955063118759
79,0.04913408013255852
80,0.04925655611716103
81,0.04920482390107598
82,0.05002288194489072
83,0.04818334683711633
84,0.04808748071245557
85,0.04901651744315924
86,0.049881858316913164
87,0.048175724178239135
88,0.04838452302189526
89,0.047678412535958704
90,0.047698546375880994
91,0.048098235104186184
92,0.047978307819202246
93,0.04690546918813909
94,0.04590406177046457
95,0.04603607123641194
96,0.047237659873933927
97,0.04723998928781682
98,0.047202253363330206
99,0.049575766611717496
100,0.049458372429236674
101,0.04857335913920976
102,0.048485783859618305
103,0.04825829167672333
104,0.046992280589891876
105,0.04742174265875865
106,0.047743434078461676
107,0.04766417775313838
108,0.04801770695973646
109,0.04733426082670918
110,0.04723007369183253
111,0.04659856897267293
112,0.04621166013082463
113,0.047362540561062164
114,0.046401899668285354
115,0.046027445920210255
116,0.04549801860811395
117,0.044855209905625575
118,0.04166193084867821
119,0.04173155611829877
120,0.04174294042591797
121,0.042096056047666176
122,0.042205814871115806
123,0.041065654765754495
124,0.04019737259801751
125,0.040231182522143555
